3/25/2019,@Ashwin28,Who will be the winner in #Tumkur #Tumakuru @BJP4India @BJP4Karnataka @INCIndia @INCKarnataka @JanataDal_S #LokSabhaElections2019 #IndiaElects #LokSabhaElection2019 #LokSabha #LokSabhaElections #India @H_D_Devegowda #MuddahanumeGowda #Rajanna,176,630,India,positive
3/25/2019,@KPL_Lokesh,This is your last chance my dear voters. India will never be the same again if BJP comes back to power. Remember this when you vote to change the fortune of this beautiful nation. Choose wisely. Thank you. #LokSabhaElections2019 #LokSabhaElection2019 #LokSabha2019 #BJP420Party,198,434,"Chennai, India",positive
3/25/2019,@AUOYI,#AIMIM President & #Hyderabad MP Candidate Barrister Asaduddin #Owaisi Paidal Daura Today In Various Places Of #GoshaMahal Assembly Constituency. #LokSabhaElection2019,5072,6,"Hyderabad, India",negative
3/25/2019,@capricornfish,Existing MPs from Rajya Sabha & MLAs / MLCs fighting #LokSabhaElections2019 should MORALLY first Resign from their existing post before submitting their nomination papers. Think about it!! #LokSabhaElection2019 #IndiaElects #LokSabhaElections #LokSabha #LokSabha2019,199,357,"Patna, India",negative
3/25/2019,@amey_arw,If @narendramodi ji dont take forming #MensCommision and demand of Indian families seriously..then Indian Men wont have any option but to get Anticipatory Bail before marriage...😊 #PurushAayog #NOTA2019 #NOTA4Men #LokSabhaElection2019 #Fakecases,406,283,"Mumbai, India",negative
3/25/2019,@fptwopointzero,"#KamalHaasan not to contest in #LokSabhaElection2019. @ikamalhaasan Releases #MNM manifesto, promises 50 lakh jobs, equal pay for women and 100% profit for farmers.",29,376,,positive
3/25/2019,@sthyagu,"Narendra Modi became CM and PM despite biased, vicious media. A political arriviste like @ikamalhaasan wants to prop himself up with the help of media @maiamofficial #LokSabhaElections2019 #LokSabhaElection2019 #LokSabha #LokSabhaElection",295,3616,Chennai,negative
3/25/2019,@whoisthisadarsh,"“Main Bhi Chowkidar” Is Just Another Election Gimmick From Brand Modi"". #MaiBhiChowkidar #BJP #NarendraModi #LokSabhaElection2019",19,113,,negative
3/25/2019,@atulpatil0707,Do you think release of the film PM Modi is voilation of code of conduct ahead #LokSabhaElection2019 ?,180,161,Mumbai - The City of Dreams,negative
3/25/2019,@msmblrtwt,People of #Mandya #Hassan #Tumkur have to show the real Power by voting out the #FamilyPolitics in #LokSabhaElections2019 #LokSabhaElection2019. can’t #JDS find any right candidate other than their own family members? @timesofindia @tv9kannada,34,20,,negative
3/25/2019,@Narayan422467,In news survey majority members of chowkidar campaign from Rajasthan #proudtoberajasthani #mebhichowkidar @gssjodhpur @narendramodi #LokSabhaElection2019 #CongressMuktBharat #NAMO_AGAIN #nationwantsnamo #vandemataram #rajasthan @my_rajasthan,811,2364,Jaipur,negative
3/25/2019,@Corners360,If you want to be really #chowkidar then put your names on adhar card and voter id too.. Changing your name only on #twitter doesn't make you a #chowkidar. #think_before_vote #LokSabhaElections2019 #LokSabhaElection2019 #election #BJP #Congress #India,23,31,"New Delhi, India",negative
3/25/2019,@aparnark30,#justheard Delhi is a funny place where a CM who has 67 seats is begging a party for alliance which has 0 seats..and funniest part is party with 0 seats is rejecting that offer. 😆 #danceofdemocracy #LokSabhaElection2019,1362,525,"Pune, India",negative
3/25/2019,@mohit1201,Who will be next Prime Minister in 2019? @BJP4India @INCIndia @samajwadiparty #BSP #LokSabhaElections2019 #LokSabhaElection2019,1162,29,India,negative
3/25/2019,@longhandnotes,"#Poll on #LokSabhaElection2019 for observers/participants of Indian politics: I support an electoral outcome of an opposition-party-led government.('Yes' OR 'No') I think it is appropriate to describe the opposition as ""united"".('Yes' OR 'No')",496,476,,positive
3/25/2019,@ajaymgoel,"In how many #LokSabhaElection2019 constituencies, #NOTA votes would be more than the winning margin? #India #elections @BJP4India @INCIndia @samajwadiparty @dhume",971,430,,positive
3/25/2019,@Raghubv,"I wd req all my fellow indians 2 go n chk their part, serial numbers, voting booth in CEC website now only rather than cryin on voting day tat ur name is deleted #VoteKar #LokSabhaElections2019 #LokSabha2019 #LokSabhaElection2019 #VoteKar #ElectionCommission @narendramodi",142,131,Bangalore,negative
3/25/2019,@kalki52248736,"ये ही होगा - और कुछ असम्भव - UP elections would be replicated only for BJP in #LokSabhaElection2019. BJP will get 309 seats. No more, no less. दलबदलू can increase BJP tally marginally. NDA may reach between 341 - 349.",88,47,India,negative
3/25/2019,@KannadaFan,Predict outcome of #LokSabhaElection2019 . Who will win?,53,15,"Bengaluru, India",positive
3/25/2019,@unreservedmerit,"Still people are voting for @BJP4India only because of Modi, saying that they haven't seen their local MPs after 2014 elections. BJP MPs should not be dumb always. #LokSabhaElection2019 #ChowkidarPhirSe",389,139,"Chennai, India",negative
3/25/2019,@PrabuTalkies,"#KamalHaasan not to contest in #LokSabhaElection2019. @ikamalhaasan Releases #MNM manifesto, promises 50 lakh jobs, equal pay for women and 100% profit for farmers. #PrabuTalkies",3289,977,Bangalore,positive
3/25/2019,@rikenwrites,900 Million people to choose 🇮🇳 INDIA’s next PM in 7 phases #LokSabhaElection2019 Which is going to start on 11th April and will run till May 19 Don’t forget to #Vote2019 #VoteKaro #ModiHaiToMumkinHai #ModiOnceMore #ChowkidarNarendraModi,192,228,India,negative
3/24/2019,@Nishant1404,Lead us not into temptation. Just tell us where it is; we'll find it-Sam Levenson. #LokSabhaElection2019,221,205,"Noida, India",negative
3/24/2019,@right_is_right0,Continuing with my @BJP4India #karnataka #LokSabhaElection2019 analysis in central Karnataka - #koppal has no BJP candidate but expect it to be a toss-up regardless with new faces on both sides. In #dharwad @prahladjoshi121 is looking for a 4th term. The Congress hasn’t named,32,53,,negative
